Kata,Score,Avg Score,Won?,Karateka,Round #,Tournament
Gojushiho Sho,39.1,7.82,FALSE,Karim Ghaly,rr,2024 Casablanca
Gojushiho Dai,41.5,8.3,TRUE,Alessio Ghinami,rr,2024 Casablanca
Suparinpei,41.2,8.24,TRUE,Eiji Otsuki,rr,2024 Casablanca
Anan Dai,38.9,7.78,FALSE,Ryonosuke Kikuchi,rr,2024 Casablanca
Chatanyara,41.4,8.28,TRUE,Eiji Otsuki,rr,2024 Casablanca
Unsu,41.3,8.26,FALSE,Alessio Ghinami,rr,2024 Casablanca
Gojushiho Dai,40.2,8.04,FALSE,Karim Ghaly,rr,2024 Casablanca
Suparinpei,41.2,8.24,TRUE,Ryonosuke Kikuchi,rr,2024 Casablanca
Kururunfa,39.4,7.88,FALSE,Yuki Ujihara,rr,2024 Casablanca
Gojushiho Sho,40.1,8.02,TRUE,Almosawi Sayed Salman,rr,2024 Casablanca
Sochin,41.5,8.3,TRUE,Ryuji Moto,rr,2024 Casablanca
Anan,40.7,8.14,FALSE,Ariel Torres,rr,2024 Casablanca
Unsu,40.4,8.08,FALSE,Almosawi Sayed Salman,rr,2024 Casablanca
Gojushiho Sho,41.3,8.26,TRUE,Ryuji Moto,rr,2024 Casablanca
Suparinpei,39.4,7.88,FALSE,Yuki Ujihara,rr,2024 Casablanca
Ohan,40.1,8.02,TRUE,Ariel Torres,rr,2024 Casablanca
Papuren,39.6,7.92,FALSE,Yuki Ujihara,rr,2024 Casablanca
Enpi,41.1,8.22,TRUE,Ryuji Moto,rr,2024 Casablanca
Kanku Sho,40.1,8.02,FALSE,Almosawi Sayed Salman,rr,2024 Casablanca
Kururunfa,41.1,8.22,TRUE,Ariel Torres,rr,2024 Casablanca
Ohan Dai,39.9,7.98,FALSE,Howard Hung Ho Wai,rr,2024 Casablanca
Ohan Dai,40.1,8.02,TRUE,Manuel Grazia,rr,2024 Casablanca
Anan Dai,41.3,8.26,FALSE,Taishi Tozaki,rr,2024 Casablanca
Chatanyara,42.3,8.46,TRUE,Yasuhiro Machida,rr,2024 Casablanca
Anan Dai,40.3,8.06,FALSE,Manuel Grazia,rr,2024 Casablanca
Ohan Dai,41.2,8.24,TRUE,Taishi Tozaki,rr,2024 Casablanca
Suparinpei,40.7,8.14,FALSE,Howard Hung Ho Wai,rr,2024 Casablanca
Suparinpei,42.6,8.52,TRUE,Yasuhiro Machida,rr,2024 Casablanca
Ohan,39.6,7.92,FALSE,Howard Hung Ho Wai,rr,2024 Casablanca
Anan,41.4,8.28,TRUE,Taishi Tozaki,rr,2024 Casablanca
Ohan,40.1,8.02,FALSE,Manuel Grazia,rr,2024 Casablanca
Anan Dai,41.9,8.38,TRUE,Yasuhiro Machida,rr,2024 Casablanca
Gojushiho Sho,39.6,7.92,FALSE,Almosawi Sayed Mohammed,rr,2024 Casablanca
Anan,41.3,8.26,TRUE,Gakuji Tozaki,rr,2024 Casablanca
Gojushiho Dai,40.1,8.02,FALSE,Abu Wahib Jonas,rr,2024 Casablanca
Sochin,41.7,8.34,TRUE,Kazumasa Moto,rr,2024 Casablanca
Suparinpei,42,8.4,TRUE,Gakuji Tozaki,rr,2024 Casablanca
Unsu,39.9,7.98,FALSE,Abu Wahib Jonas,rr,2024 Casablanca
Unsu,40.7,8.14,FALSE,Almosawi Sayed Mohammed,rr,2024 Casablanca
Gojushiho Dai,42.1,8.42,TRUE,Kazumasa Moto,rr,2024 Casablanca
Kanku Sho,40.3,8.06,TRUE,Almosawi Sayed Mohammed,rr,2024 Casablanca
Kanku Sho,39.9,7.98,FALSE,Abu Wahib Jonas,rr,2024 Casablanca
Ohan Dai,41.5,8.3,FALSE,Gakuji Tozaki,rr,2024 Casablanca
Gojushiho Sho,42.3,8.46,TRUE,Kazumasa Moto,rr,2024 Casablanca
Kanku Sho,39.2,7.84,FALSE,El Mansoury Salah Eddine,rr,2024 Casablanca
Gojushiho Sho,42.2,8.44,TRUE,Enes Ozdemir,rr,2024 Casablanca
Unsu,41.6,8.32,TRUE,Aoi Funada,rr,2024 Casablanca
Unsu,39.9,7.98,FALSE,Gianluca Gallo,rr,2024 Casablanca
Unsu,42,8.4,TRUE,Enes Ozdemir,rr,2024 Casablanca
Chatanyara,41.6,8.32,FALSE,Aoi Funada,rr,2024 Casablanca
Gojushiho Sho,39.9,7.98,FALSE,El Mansoury Salah Eddine,rr,2024 Casablanca
Gojushiho Sho,41.3,8.26,TRUE,Gianluca Gallo,rr,2024 Casablanca
Unsu,39.7,7.94,FALSE,El Mansoury Salah Eddine,rr,2024 Casablanca
Suparinpei,41.9,8.38,TRUE,Aoi Funada,rr,2024 Casablanca
Kanku Sho,42.1,8.42,TRUE,Enes Ozdemir,rr,2024 Casablanca
Gojushiho Dai,40.2,8.04,FALSE,Gianluca Gallo,rr,2024 Casablanca
Gojushiho Sho,39.5,7.9,FALSE,Franck Ngoan,rr,2024 Casablanca
Suparinpei,41.7,8.34,TRUE,Rey Chinen,rr,2024 Casablanca
Kanku Sho,40.7,8.14,FALSE,Alessandro Iodice,rr,2024 Casablanca
Seisan,42.4,8.48,TRUE,Kakeru Nishiyama,rr,2024 Casablanca
Chatanyara,41.9,8.38,TRUE,Rey Chinen,rr,2024 Casablanca
Unsu,40.9,8.18,FALSE,Alessandro Iodice,rr,2024 Casablanca
Sochin,40.1,8.02,FALSE,Franck Ngoan,rr,2024 Casablanca
Kururunfa,41.9,8.38,TRUE,Kakeru Nishiyama,rr,2024 Casablanca
Unsu,40.3,8.06,FALSE,Franck Ngoan,rr,2024 Casablanca
Gojushiho Sho,41.4,8.28,TRUE,Alessandro Iodice,rr,2024 Casablanca
Papuren,41.7,8.34,FALSE,Rey Chinen,rr,2024 Casablanca
Shisochin,42.9,8.58,TRUE,Kakeru Nishiyama,rr,2024 Casablanca
Ohan Dai,42.8,8.56,TRUE,Sakichi Abe,r1,2024 Casablanca
Anan Dai,41.3,8.26,FALSE,Ryusei Ikeda,r1,2024 Casablanca
Chibana,40.3,8.06,FALSE,Eiji Otsuki,r1,2024 Casablanca
Jitte,42.4,8.48,TRUE,Ryuji Moto,r1,2024 Casablanca
Papuren,43,8.6,FALSE,Yasuhiro Machida,r1,2024 Casablanca
Unsu,43.7,8.74,TRUE,Kazumasa Moto,r1,2024 Casablanca
Gankaku,41.7,8.34,FALSE,Enes Ozdemir,r1,2024 Casablanca
Papuren,43.6,8.72,TRUE,Kakeru Nishiyama,r1,2024 Casablanca
Anan Dai,42.3,8.46,FALSE,Sakichi Abe,r2,2024 Casablanca
Unsu,43,8.6,TRUE,Ryuji Moto,r2,2024 Casablanca
Gankaku,43.4,8.68,FALSE,Kazumasa Moto,r2,2024 Casablanca
Suparinpei,44.9,8.98,TRUE,Kakeru Nishiyama,r2,2024 Casablanca
Sochin,43.3,8.66,FALSE,Ryuji Moto,r3,2024 Casablanca
Chibana,45.6,9.12,TRUE,Kakeru Nishiyama,r3,2024 Casablanca
Anan,42.2,8.44,FALSE,Eiji Otsuki,rpc,2024 Casablanca
Ohan Dai,44.2,8.84,TRUE,Sakichi Abe,rpc,2024 Casablanca
Gojushiho Dai,43.4,8.68,FALSE,Enes Ozdemir,rpc,2024 Casablanca
Gojushiho Sho,43.6,8.72,TRUE,Kazumasa Moto,rpc,2024 Casablanca
Gojushiho Sho,41.3,8.26,TRUE,Enes Ozdemir,rr,2025 Paris
Unsu,40.1,8.02,FALSE,Almosawi Sayed Salman,rr,2025 Paris
Gojushiho Sho,39.8,7.96,FALSE,Alessandro Iodice,rr,2025 Paris
Anan,41.7,8.34,TRUE,Ryonosuke Kikuchi,rr,2025 Paris
Unsu,39.4,7.88,TRUE,Almosawi Sayed Salman,rr,2025 Paris
Unsu,39.1,7.82,FALSE,Alessandro Iodice,rr,2025 Paris
Unsu,40.9,8.18,FALSE,Enes Ozdemir,rr,2025 Paris
Suparinpei,41.5,8.3,TRUE,Ryonosuke Kikuchi,rr,2025 Paris
Sochin,41.2,8.24,TRUE,Enes Ozdemir,rr,2025 Paris
Kanku Sho,39.2,7.84,FALSE,Alessandro Iodice,rr,2025 Paris
Gojushiho Sho,39.9,7.98,FALSE,Almosawi Sayed Salman,rr,2025 Paris
Shisochin,40.3,8.06,TRUE,Ryonosuke Kikuchi,rr,2025 Paris
Gojushiho Sho,38.9,7.78,FALSE,Franck Ngoan,rr,2025 Paris
Gojushiho Sho,41.6,8.32,TRUE,Ryuji Moto,rr,2025 Paris
Gojushiho Sho,39.5,7.9,FALSE,Petru Comanescu,rr,2025 Paris
Sochin,41.1,8.22,TRUE,Ali Sofuoglu,rr,2025 Paris
Enpi,42.1,8.42,TRUE,Ryuji Moto,rr,2025 Paris
Gankaku,40.5,8.1,FALSE,Petru Comanescu,rr,2025 Paris
Unsu,39.8,7.96,FALSE,Franck Ngoan,rr,2025 Paris
Nijushiho,41.7,8.34,TRUE,Ali Sofuoglu,rr,2025 Paris
Kanku Sho,40.3,8.06,FALSE,Franck Ngoan,rr,2025 Paris
Kanku Sho,41,8.2,TRUE,Petru Comanescu,rr,2025 Paris
Sochin,43,8.6,TRUE,Ryuji Moto,rr,2025 Paris
Gojushiho Sho,41.8,8.36,FALSE,Ali Sofuoglu,rr,2025 Paris
Gojushiho Sho,37.9,7.58,FALSE,Saber Benmekhlouf,rr,2025 Paris
Unsu,39.5,7.9,TRUE,Casanova Guerrero Cleiver,rr,2025 Paris
Suparinpei,40.3,8.06,TRUE,Yasuhiro Machida,rr,2025 Paris
Ohan Dai,,,FALSE,Tarik Koc,rr,2025 Paris
Suparinpei,38.3,7.66,FALSE,Casanova Guerrero Cleiver,rr,2025 Paris
Anan Dai,40.4,8.08,TRUE,Yasuhiro Machida,rr,2025 Paris
Unsu,38.2,7.64,FALSE,Saber Benmekhlouf,rr,2025 Paris
Suparinpei,39.2,7.84,TRUE,Tarik Koc,rr,2025 Paris
Gojushiho Dai,37.5,7.5,FALSE,Saber Benmekhlouf,rr,2025 Paris
Chatanyara,40.8,8.16,TRUE,Yasuhiro Machida,rr,2025 Paris
Gojushiho Dai,40,8,FALSE,Casanova Guerrero Cleiver,rr,2025 Paris
Anan Dai,40.1,8.02,TRUE,Tarik Koc,rr,2025 Paris
Ohan Dai,39.2,7.84,TRUE,Thomas Klemz,rr,2025 Paris
Gojushiho Dai,38.9,7.78,FALSE,Gianluca Gallo,rr,2025 Paris
Ohan Dai,39.9,7.98,FALSE,Ryusei Ikeda,rr,2025 Paris
Ohan Dai,41,8.2,TRUE,Ariel Torres,rr,2025 Paris
Gojushiho Sho,39,7.8,FALSE,Gianluca Gallo,rr,2025 Paris
Ohan Dai,40.2,8.04,TRUE,Ryusei Ikeda,rr,2025 Paris
Suparinpei,38.5,7.7,FALSE,Thomas Klemz,rr,2025 Paris
Kururunfa,41.2,8.24,TRUE,Ariel Torres,rr,2025 Paris
Papuren,38.9,7.78,FALSE,Thomas Klemz,rr,2025 Paris
Anan Dai,41.4,8.28,TRUE,Ryusei Ikeda,rr,2025 Paris
Unsu,39.2,7.84,FALSE,Gianluca Gallo,rr,2025 Paris
Shisochin,41.4,8.28,TRUE,Ariel Torres,rr,2025 Paris
Anan Dai,39,7.8,FALSE,James Harrison,rr,2025 Paris
Ohan Dai,40.5,8.1,TRUE,Perez De Abreu Ricardo,rr,2025 Paris
Chibana,40.2,8.04,FALSE,Roman Hrcka,rr,2025 Paris
Gojushiho Dai,41.8,8.36,TRUE,Alessio Ghinami,rr,2025 Paris
Suparinpei,40.2,8.04,FALSE,Perez De Abreu Ricardo,rr,2025 Paris
Nipaipo,40.6,8.12,TRUE,Roman Hrcka,rr,2025 Paris
Kururunfa,39.7,7.94,FALSE,James Harrison,rr,2025 Paris
Gojushiho Sho,41.2,8.24,TRUE,Alessio Ghinami,rr,2025 Paris
Papuren,40.2,8.04,FALSE,James Harrison,rr,2025 Paris
Papuren,41.4,8.28,TRUE,Roman Hrcka,rr,2025 Paris
Chibana,39.7,7.94,FALSE,Perez De Abreu Ricardo,rr,2025 Paris
Unsu,41.8,8.36,TRUE,Alessio Ghinami,rr,2025 Paris
Anan Dai,39.9,7.98,TRUE,Botond Nagy,rr,2025 Paris
Anan Dai,39.5,7.9,FALSE,Rey Chinen,rr,2025 Paris
Ohan Dai,39.8,7.96,FALSE,manuel Grazia,rr,2025 Paris
Sochin,41.7,8.34,TRUE,Kazumasa Moto,rr,2025 Paris
Kururunfa,40.1,8.02,FALSE,Rey Chinen,rr,2025 Paris
Anan Dai,40.2,8.04,TRUE,manuel Grazia,rr,2025 Paris
Ohan Dai,40.4,8.08,FALSE,Botond Nagy,rr,2025 Paris
Gojushiho Dai,41.6,8.32,TRUE,Kazumasa Moto,rr,2025 Paris
Papuren,39.8,7.96,TRUE,Botond Nagy,rr,2025 Paris
Ohan Dai,39.7,7.94,FALSE,manuel Grazia,rr,2025 Paris
Suparinpei,39.8,7.96,FALSE,Rey Chinen,rr,2025 Paris
Unsu,41.8,8.36,TRUE,Kazumasa Moto,rr,2025 Paris
Suparinpei,38.8,7.76,TRUE,Howard Hung Ho Wai,rr,2025 Paris
Papuren,37.6,7.52,FALSE,Adam Bardos,rr,2025 Paris
Anan Dai,39.8,7.96,TRUE,Gakuji Tozaki,rr,2025 Paris
Suparinpei,39.8,7.96,FALSE,Yuki Sato,rr,2025 Paris
Chibana,39.4,7.88,FALSE,Adam Bardos,rr,2025 Paris
Anan,41.6,8.32,TRUE,Gakuji Tozaki,rr,2025 Paris
Ohan Dai,39.4,7.88,FALSE,Howard Hung Ho Wai,rr,2025 Paris
Anan,40.8,8.16,TRUE,Yuki Sato,rr,2025 Paris
Chibana,39.3,7.86,FALSE,Howard Hung Ho Wai,rr,2025 Paris
Ohan Dai,41,8.2,TRUE,Gakuji Tozaki,rr,2025 Paris
Suparinpei,38.7,7.74,FALSE,Adam Bardos,rr,2025 Paris
Papuren,40.3,8.06,TRUE,Yuki Sato,rr,2025 Paris
Unsu,41.2,8.24,TRUE,Mattia Busato,rr,2025 Paris
Suparinpei,39.3,7.86,FALSE,Yuki Ujihara,rr,2025 Paris
Anan Dai,40.2,8.04,FALSE,Anthony Vu,rr,2025 Paris
Seisan,42.2,8.44,TRUE,Kakeru Nishiyama,rr,2025 Paris
Papuren,39.5,7.9,FALSE,Yuki Ujihara,rr,2025 Paris
Chibana,40.9,8.18,TRUE,Anthony Vu,rr,2025 Paris
Gojushiho Sho,41.1,8.22,FALSE,Mattia Busato,rr,2025 Paris
Shisochin,42.3,8.46,TRUE,Kakeru Nishiyama,rr,2025 Paris
Kanku Sho,40.8,8.16,FALSE,Mattia Busato,rr,2025 Paris
Ohan Dai,41.2,8.24,TRUE,Anthony Vu,rr,2025 Paris
Kururunfa,38.6,7.72,FALSE,Yuki Ujihara,rr,2025 Paris
Kururunfa,42.2,8.44,TRUE,Kakeru Nishiyama,rr,2025 Paris
Ohan Dai,43.1,8.62,TRUE,Ryonosuke Kikuchi,r1,2025 Paris
Jitte,42.3,8.46,FALSE,Ryuji Moto,r1,2025 Paris
Chibana,42.3,8.46,TRUE,Yasuhiro Machida,r1,2025 Paris
Anan,41.7,8.34,FALSE,Ariel Torres,r1,2025 Paris
Kanku Sho,41.5,8.3,FALSE,Alessio Ghinami,r1,2025 Paris
Gojushiho Sho,42.1,8.42,TRUE,Kazumasa Moto,r1,2025 Paris
Suparinpei,41.6,8.32,FALSE,Gakuji Tozaki,r1,2025 Paris
Papuren,43.7,8.74,TRUE,Kakeru Nishiyama,r1,2025 Paris
Anan Dai,42.5,8.5,FALSE,Ryonosuke Kikuchi,r2,2025 Paris
Papuren,43.2,8.64,TRUE,Yasuhiro Machida,r2,2025 Paris
Gankaku,42.9,8.58,FALSE,Kazumasa Moto,r2,2025 Paris
Suparinpei,44.8,8.96,TRUE,Kakeru Nishiyama,r2,2025 Paris
Suparinpei,43.3,8.66,FALSE,Yasuhiro Machida,r3,2025 Paris
Chibana,45.9,9.18,TRUE,Kakeru Nishiyama,r3,2025 Paris
Anan Dai,43.4,8.68,TRUE,Ariel Torres,rpc,2025 Paris
Suparinpei,43,8.6,FALSE,Ryonosuke Kikuchi,rpc,2025 Paris
Chatanyara,42.7,8.54,FALSE,Gakuji Tozaki,rpc,2025 Paris
Gojushiho Sho,44.2,8.84,TRUE,Kazumasa Moto,rpc,2025 Paris
Gojushiho Sho,38.9,7.78,TRUE,Mohammad Hussain,rr,2025 Hangzhou
Gojushiho Dai,36.8,7.36,FALSE,Rick Sonnema,rr,2025 Hangzhou
Ohan,40,8,TRUE,Ryusei Ikeda,rr,2025 Hangzhou
Ohan Dai,39.9,7.98,FALSE,Taishi Tozaki,rr,2025 Hangzhou
Gojushiho Sho,37.7,7.54,FALSE,Rick Sonnema,rr,2025 Hangzhou
Anan,40.4,8.08,TRUE,Ryusei Ikeda,rr,2025 Hangzhou
Unsu,39,7.8,FALSE,Mohammad Hussain,rr,2025 Hangzhou
Anan Dai,40.4,8.08,TRUE,Taishi Tozaki,rr,2025 Hangzhou
Gojushiho Dai,39.4,7.88,FALSE,Mohammad Hussain,rr,2025 Hangzhou
Suparinpei,40.8,8.16,TRUE,Ryusei Ikeda,rr,2025 Hangzhou
Unsu,38.1,7.62,FALSE,Rick Sonnema,rr,2025 Hangzhou
Papuren,40.7,8.14,TRUE,Taishi Tozaki,rr,2025 Hangzhou
Gojushiho Sho,38.8,7.76,FALSE,Gianluca Gallo,rr,2025 Hangzhou
Gojushiho,39.5,7.9,TRUE,Martin Romero Raul,rr,2025 Hangzhou
Sochin,40.8,8.16,TRUE,Ryuji Moto,rr,2025 Hangzhou
Gojushiho Sho,40.2,8.04,FALSE,Ali Sofuoglu,rr,2025 Hangzhou
Chibana,41,8.2,TRUE,Martin Romero Raul,rr,2025 Hangzhou
Gojushiho Sho,40.9,8.18,FALSE,Ryuji Moto,rr,2025 Hangzhou
Unsu,38.6,7.72,FALSE,Gianluca Gallo,rr,2025 Hangzhou
Nijushiho,40,8,TRUE,Ali Sofuoglu,rr,2025 Hangzhou
Gojushiho Dai,39.3,7.86,FALSE,Gianluca Gallo,rr,2025 Hangzhou
Jitte,40.4,8.08,TRUE,Ryuji Moto,rr,2025 Hangzhou
Chatanyara,41.6,8.32,TRUE,Martin Romero Raul,rr,2025 Hangzhou
Unsu,40.3,8.06,FALSE,Ali Sofuoglu,rr,2025 Hangzhou
Papuren,39.3,7.86,FALSE,Yuki Ujihara,rr,2025 Hangzhou
Ohan Dai,40.6,8.12,TRUE,Anthony Vu,rr,2025 Hangzhou
Chibana,38,7.6,FALSE,Howard Hung Ho Wai,rr,2025 Hangzhou
Gojushiho Sho,40,8,TRUE,Mattia Busato,rr,2025 Hangzhou
Papuren,40.7,8.14,TRUE,Anthony Vu,rr,2025 Hangzhou
Ohan Dai,38.4,7.68,FALSE,Howard Hung Ho Wai,rr,2025 Hangzhou
Kururunfa,39.5,7.9,FALSE,Yuki Ujihara,rr,2025 Hangzhou
Unsu,40.2,8.04,TRUE,Mattia Busato,rr,2025 Hangzhou
Shisochin,39.2,7.84,TRUE,Yuki Ujihara,rr,2025 Hangzhou
Ohan,38.8,7.76,FALSE,Howard Hung Ho Wai,rr,2025 Hangzhou
Chibana,40.2,8.04,TRUE,Anthony Vu,rr,2025 Hangzhou
Gojushiho Dai,40.2,8.04,FALSE,Mattia Busato,rr,2025 Hangzhou
Ohan,40.6,8.12,TRUE,Sakichi Abe,rr,2025 Hangzhou
Chibana,36.9,7.38,FALSE,Tarik Koc,rr,2025 Hangzhou
Ohan Dai,39.3,7.86,FALSE,Chen Chao Ching,rr,2025 Hangzhou
Kururunfa,41.2,8.24,TRUE,Ariel Torres,rr,2025 Hangzhou
Anan Dai,38.1,7.62,FALSE,Tarik Koc,rr,2025 Hangzhou
Suparinpei,39.8,7.96,TRUE,Chen Chao Ching,rr,2025 Hangzhou
Ohan Dai,40.7,8.14,FALSE,Sakichi Abe,rr,2025 Hangzhou
Ohan Dai,41.2,8.24,TRUE,Ariel Torres,rr,2025 Hangzhou
Suparinpei,40.4,8.08,TRUE,Sakichi Abe,rr,2025 Hangzhou
Papuren,39.4,7.88,FALSE,Chen Chao Ching,rr,2025 Hangzhou
Suparinpei,38.1,7.62,FALSE,Tarik Koc,rr,2025 Hangzhou
Shisochin,40.3,8.06,TRUE,Ariel Torres,rr,2025 Hangzhou
Nipaipo,39.4,7.88,TRUE,Roman Hrcka,rr,2025 Hangzhou
Gojushiho Dai,38.4,7.68,FALSE,Casanova Guerrero Cleiver,rr,2025 Hangzhou
Gojushiho Dai,39,7.8,FALSE,Almosawi Sayed Mohammed,rr,2025 Hangzhou
Anan,40.8,8.16,TRUE,Ryonosuke Kikuchi,rr,2025 Hangzhou
Unsu,39,7.8,FALSE,Casanova Guerrero Cleiver,rr,2025 Hangzhou
Kanku Sho,39.2,7.84,TRUE,Almosawi Sayed Mohammed,rr,2025 Hangzhou
Chatanyara,40.3,8.06,FALSE,Roman Hrcka,rr,2025 Hangzhou
Papuren,41.3,8.26,TRUE,Ryonosuke Kikuchi,rr,2025 Hangzhou
Papuren,40.5,8.1,TRUE,Roman Hrcka,rr,2025 Hangzhou
Unsu,39.4,7.88,FALSE,Almosawi Sayed Mohammed,rr,2025 Hangzhou
Gankaku,39.3,7.86,FALSE,Casanova Guerrero Cleiver,rr,2025 Hangzhou
Shisochin,41,8.2,TRUE,Ryonosuke Kikuchi,rr,2025 Hangzhou
Gojushiho Sho,40.9,8.18,TRUE,Alessio Ghinami,rr,2025 Hangzhou
Unsu,39.8,7.96,FALSE,Almosawi Sayed Salman,rr,2025 Hangzhou
Suparinpei,40.2,8.04,FALSE,Rey Chinen,rr,2025 Hangzhou
Gojushiho Dai,41.6,8.32,TRUE,Kazumasa Moto,rr,2025 Hangzhou
Kanku Sho,39.7,7.94,FALSE,Almosawi Sayed Salman,rr,2025 Hangzhou
Chatanyara,40.7,8.14,TRUE,Rey Chinen,rr,2025 Hangzhou
Gankaku,41.2,8.24,FALSE,Alessio Ghinami,rr,2025 Hangzhou
Gojushiho Sho,42,8.4,TRUE,Kazumasa Moto,rr,2025 Hangzhou
Gojushiho Dai,41.1,8.22,TRUE,Alessio Ghinami,rr,2025 Hangzhou
Papuren,40.9,8.18,FALSE,Rey Chinen,rr,2025 Hangzhou
Gojushiho Sho,39.7,7.94,FALSE,Almosawi Sayed Salman,rr,2025 Hangzhou
Sochin,41.7,8.34,TRUE,Kazumasa Moto,rr,2025 Hangzhou
Anan Dai,40.8,8.16,TRUE,Yasuhiro Machida,rr,2025 Hangzhou
Gojushiho Dai,38.8,7.76,FALSE,Adam Ellithy,rr,2025 Hangzhou
Suparinpei,40.5,8.1,TRUE,Gakuji Tozaki,rr,2025 Hangzhou
Kururunfa,38.8,7.76,FALSE,James Harrison,rr,2025 Hangzhou
Gojushiho Sho,39.5,7.9,FALSE,Adam Ellithy,rr,2025 Hangzhou
Anan,40.7,8.14,TRUE,Gakuji Tozaki,rr,2025 Hangzhou
Chatanyara,40.8,8.16,TRUE,Yasuhiro Machida,rr,2025 Hangzhou
Suparinpei,39.2,7.84,FALSE,James Harrison,rr,2025 Hangzhou
Suparinpei,41.3,8.26,TRUE,Yasuhiro Machida,rr,2025 Hangzhou
Ohan Dai,41,8.2,FALSE,Gakuji Tozaki,rr,2025 Hangzhou
Unsu,39.5,7.9,FALSE,Adam Ellithy,rr,2025 Hangzhou
Papuren,40.8,8.16,TRUE,James Harrison,rr,2025 Hangzhou
Gojushiho Sho,40.2,8.04,TRUE,Alessandro Iodice,rr,2025 Hangzhou
Sochin,39.9,7.98,FALSE,Enes Ozdemir,rr,2025 Hangzhou
Suparinpei,40,8,FALSE,Yaroslav Fedorov,rr,2025 Hangzhou
Shisochin,41.9,8.38,TRUE,Kakeru Nishiyama,rr,2025 Hangzhou
Gojushiho Sho,40.4,8.08,TRUE,Enes Ozdemir,rr,2025 Hangzhou
Ohan Dai,39.9,7.98,FALSE,Yaroslav Fedorov,rr,2025 Hangzhou
Sochin,39.9,7.98,FALSE,Alessandro Iodice,rr,2025 Hangzhou
Kururunfa,41.8,8.36,TRUE,Kakeru Nishiyama,rr,2025 Hangzhou
Unsu,40.9,8.18,TRUE,Alessandro Iodice,rr,2025 Hangzhou
Anan Dai,39.5,7.9,FALSE,Yaroslav Fedorov,rr,2025 Hangzhou
Gankaku,40.7,8.14,FALSE,Enes Ozdemir,rr,2025 Hangzhou
Seisan,42.8,8.56,TRUE,Kakeru Nishiyama,rr,2025 Hangzhou
Ohan Dai,42,8.4,FALSE,Ryusei Ikeda,r1,2025 Hangzhou
Suparinpei,42.2,8.44,TRUE,Martin Romero Raul,r1,2025 Hangzhou
Anan Dai,41.5,8.3,FALSE,Anthony Vu,r1,2025 Hangzhou
Anan,42.8,8.56,TRUE,Ariel Torres,r1,2025 Hangzhou
Suparinpei,42.1,8.42,FALSE,Ryonosuke Kikuchi,r1,2025 Hangzhou
Unsu,43.3,8.66,TRUE,Kazumasa Moto,r1,2025 Hangzhou
Chibana,41.8,8.36,FALSE,Yasuhiro Machida,r1,2025 Hangzhou
Papuren,43.7,8.74,TRUE,Kakeru Nishiyama,r1,2025 Hangzhou
Anan,42,8.4,FALSE,Martin Romero Raul,r2,2025 Hangzhou
Anan Dai,43.2,8.64,TRUE,Ariel Torres,r2,2025 Hangzhou
Gankaku,43.2,8.64,FALSE,Kazumasa Moto,r2,2025 Hangzhou
Suparinpei,44.2,8.84,TRUE,Kakeru Nishiyama,r2,2025 Hangzhou
Ohan Dai,43.3,8.66,FALSE,Ariel Torres,r3,2025 Hangzhou
Chibana,44.1,8.82,TRUE,Kakeru Nishiyama,r3,2025 Hangzhou
Anan,42,8.4,TRUE,Anthony Vu,rpc,2025 Hangzhou
Chibana,40.4,8.08,FALSE,Martin Romero Raul,rpc,2025 Hangzhou
Papuren,41.5,8.3,FALSE,Yasuhiro Machida,rpc,2025 Hangzhou
Gojushiho Sho,43,8.6,TRUE,Kazumasa Moto,rpc,2025 Hangzhou
Papuren,39.9,7.98,TRUE,Taishi Tozaki,rr,2025 Cairo
Ohan Dai,38,7.6,FALSE,Adam Ellithy,rr,2025 Cairo
Ohan Dai,41.3,8.26,TRUE,Sakichi Abe,rr,2025 Cairo
Kanku Sho,41.1,8.22,FALSE,Enes Ozdemir,rr,2025 Cairo
,40,8,FALSE,Adam Ellithy,rr,2025 Cairo
,41.8,8.36,TRUE,Sakichi Abe,rr,2025 Cairo
,41,8.2,FALSE,Taishi Tozaki,rr,2025 Cairo
,41.9,8.38,TRUE,Enes Ozdemir,rr,2025 Cairo
,40.9,8.18,FALSE,Taishi Tozaki,rr,2025 Cairo
,42.6,8.52,TRUE,Sakichi Abe,rr,2025 Cairo
Unsu,,,FALSE,Adam Ellithy,rr,2025 Cairo
Gojushiho Dai,,,TRUE,Enes Ozdemir,rr,2025 Cairo
Gojushiho Dai,38.2,7.64,FALSE,Casanova Guerrero Cleiver,rr,2025 Cairo
Ohan,40.6,8.12,TRUE,Gakuji Tozaki,rr,2025 Cairo
Gojushiho Sho,39.9,7.98,FALSE,Almosawi Sayed Salman,rr,2025 Cairo
Enpi,41.7,8.34,TRUE,Kazumasa Moto,rr,2025 Cairo
,41,8.2,TRUE,Gakuji Tozaki,rr,2025 Cairo
,39.9,7.98,FALSE,Almosawi Sayed Salman,rr,2025 Cairo
,38.2,7.64,FALSE,Casanova Guerrero Cleiver,rr,2025 Cairo
,41.8,8.36,TRUE,Kazumasa Moto,rr,2025 Cairo
,38.6,7.72,FALSE,Casanova Guerrero Cleiver,rr,2025 Cairo
,39.9,7.98,TRUE,Almosawi Sayed Salman,rr,2025 Cairo
,40.3,8.06,FALSE,Gakuji Tozaki,rr,2025 Cairo
,41.7,8.34,TRUE,Kazumasa Moto,rr,2025 Cairo
