Kata,Score,Avg Score,Won?,Karateka,Round #,Tournament
Unsu,39.2,7.84,FALSE,Petru Comanescu,rr,2024 Paris
Unsu,40.9,8.18,TRUE,Mattia Busato,rr,2024 Paris
Kanku Sho,38.5,7.7,FALSE,Petru Comanescu,rr,2024 Paris
Kanku Sho,39.4,7.88,TRUE,Almosawi Sayed Salman,rr,2024 Paris
Ohan Dai,38.1,7.62,FALSE,Botond Nagy,rr,2024 Paris
Gojushiho Dai,42,8.4,TRUE,Mattia Busato,rr,2024 Paris
Suparinpei,39.4,7.88,TRUE,Gakuji Tozaki,rr,2024 Paris
Gojushiho Sho,38.6,7.72,FALSE,Kutluhan Duran,rr,2024 Paris
Kyan No Chinto,39.1,7.82,FALSE,Casanova Guerrero Cleiver,rr,2024 Paris
Kururunfa,41.6,8.32,TRUE,Kakeru Nishiyama,rr,2024 Paris
Gojushiho Dai,38.9,7.78,TRUE,Kutluhan Duran,rr,2024 Paris
Unsu,37.6,7.52,FALSE,Casanova Guerrero Cleiver,rr,2024 Paris
Anan,39.7,7.94,FALSE,Gakuji Tozaki,rr,2024 Paris
Chibana,41.8,8.36,TRUE,Kakeru Nishiyama,rr,2024 Paris
Anan Dai,41.7,8.34,TRUE,Gakuji Tozaki,rr,2024 Paris
Gankaku,40,8,FALSE,Casanova Guerrero Cleiver,rr,2024 Paris
Unsu,39.7,7.94,FALSE,Kutluhan Duran,rr,2024 Paris
Shisochin,41.8,8.36,TRUE,Kakeru Nishiyama,rr,2024 Paris
Kanku Sho,43.1,8.62,FALSE,Enes Ozdemir,r1,2024 Paris
Anan,43.6,8.72,TRUE,Ariel Torres,r1,2024 Paris
Suparinpei,42.3,8.46,FALSE,Ryonosuke Kikuchi,r1,2024 Paris
Jitte,43.1,8.62,TRUE,Ryuji Moto,r1,2024 Paris
Gojushiho Sho,43.1,8.62,FALSE,Kazumasa Moto,r1,2024 Paris
Gojushiho Sho,43.9,8.78,TRUE,Ali Sofuoglu,r1,2024 Paris
Gankaku,42.5,8.5,FALSE,Mattia Busato,r1,2024 Paris
Papuren,44.7,8.94,TRUE,Kakeru Nishiyama,r1,2024 Paris
Anan Dai,43.3,8.66,FALSE,Ariel Torres,r2,2024 Paris
Unsu,43.5,8.7,TRUE,Ryuji Moto,r2,2024 Paris
Kanku Sho,43.5,8.7,FALSE,Ali Sofuoglu,r2,2024 Paris
Suparinpei,44.2,8.84,TRUE,Kakeru Nishiyama,r2,2024 Paris
Sochin,43.6,8.72,FALSE,Ryuji Moto,r3,2024 Paris
Papuren,45.1,9.02,TRUE,Kakeru Nishiyama,r3,2024 Paris
Papuren,43.1,8.62,FALSE,Ryonosuke Kikuchi,rpc,2024 Paris
Anan,44.2,8.84,TRUE,Ariel Torres,rpc,2024 Paris
Gojushiho Dai,43.4,8.68,FALSE,Mattia Busato,rpc,2024 Paris
Gojushiho Sho,44.9,8.98,TRUE,Ali Sofuoglu,rpc,2024 Paris
Gojushiho Sho,40.9,8.18,TRUE,Almosawi Sayed Salman,rr,2024 Antalya
Papuren,39,7.8,FALSE,Adam Bardos,rr,2024 Antalya
Unsu,42,8.4,FALSE,Enes Ozdemir,rr,2024 Antalya
Sochin,42.9,8.58,TRUE,Ryuji Moto,rr,2024 Antalya
Ohan Dai,40.3,8.06,FALSE,Adam Bardos,rr,2024 Antalya
Sochin,41.7,8.34,TRUE,Enes Ozdemir,rr,2024 Antalya
Unsu,41.1,8.22,FALSE,Almosawi Sayed Salman,rr,2024 Antalya
Unsu,41.2,8.24,TRUE,Ryuji Moto,rr,2024 Antalya
Kanku Sho,41.6,8.32,FALSE,Almosawi Sayed Salman,rr,2024 Antalya
Gojushiho Sho,42.8,8.56,TRUE,Enes Ozdemir,rr,2024 Antalya
Suparinpei,40.7,8.14,TRUE,Adam Bardos,rr,2024 Antalya
Enpi,40.2,8.04,FALSE,Ryuji Moto,rr,2024 Antalya
Seipai,39.8,7.96,FALSE,Yuki Ujihara,rr,2024 Antalya
Ohan,42.3,8.46,TRUE,Sakichi Abe,rr,2024 Antalya
Suparinpei,40.8,8.16,FALSE,Yuki Ujihara,rr,2024 Antalya
Gojushiho Sho,42.5,8.5,TRUE,Ali Sofuoglu,rr,2024 Antalya
Ohan Dai,42.4,8.48,TRUE,Sakichi Abe,rr,2024 Antalya
Gojushiho Dai,42.3,8.46,FALSE,Ali Sofuoglu,rr,2024 Antalya
Gojushiho Dai,40.4,8.08,TRUE,Almosawi Sayed Mohammed,rr,2024 Antalya
Papuren,39.6,7.92,FALSE,Roman Hrcka,rr,2024 Antalya
Unsu,40.2,8.04,FALSE,Kutluhan Duran,rr,2024 Antalya
Ohan,41.7,8.34,TRUE,Ryusei Ikeda,rr,2024 Antalya
Ohan Dai,39.6,7.92,FALSE,Roman Hrcka,rr,2024 Antalya
Gojushiho Sho,40.1,8.02,TRUE,Kutluhan Duran,rr,2024 Antalya
Gojushiho Sho,40.7,8.14,FALSE,Almosawi Sayed Mohammed,rr,2024 Antalya
Anan Dai,41.4,8.28,TRUE,Ryusei Ikeda,rr,2024 Antalya
Unu,40.6,8.12,TRUE,Almosawi Sayed Mohammed,rr,2024 Antalya
Kanku Sho,40.2,8.04,FALSE,Kutluhan Duran,rr,2024 Antalya
Ohan,39.9,7.98,FALSE,Roman Hrcka,rr,2024 Antalya
Anan,41.8,8.36,TRUE,Ryusei Ikeda,rr,2024 Antalya
Gojushiho Sho,40.4,8.08,TRUE,Furkan Kaynar,rr,2024 Antalya
