Kata,Score,Avg Score,Won?,Karateka,Round #,Tournament,Opponent
Gojushiho Sho,38.7,7.74,TRUE,Franck Ngoan,rr,2024 Paris,Abu Wahib Jonas
Chatanyara,40,8,FALSE,Taishi Tozaki,rr,2024 Paris,Ali Sofuoglu
Gojushiho Dai,42.2,8.44,TRUE,Ali Sofuoglu,rr,2024 Paris,Taishi Tozaki
Unsu,40.5,8.1,TRUE,Franck Ngoan,rr,2024 Paris,Taishi Tozaki
Anan Dai,40.4,8.08,FALSE,Taishi Tozaki,rr,2024 Paris,Franck Ngoan
Unsu,38.9,7.78,FALSE,Abu Wahib Jonas,rr,2024 Paris,Ali Sofuoglu
Sochin,41.3,8.26,TRUE,Ali Sofuoglu,rr,2024 Paris,Abu Wahib Jonas
Gojushiho Dai,40.2,8.04,FALSE,Abu Wahib Jonas,rr,2024 Paris,Taishi Tozaki
Anan,41.9,8.38,TRUE,Taishi Tozaki,rr,2024 Paris,Abu Wahib Jonas
Kanku Sho,40.5,8.1,FALSE,Franck Ngoan,rr,2024 Paris,Ali Sofuoglu
Unsu,41.6,8.32,TRUE,Ali Sofuoglu,rr,2024 Paris,Franck Ngoan
Gojushiho Sho,38.7,7.74,FALSE,Petru Comanescu,rr,2024 Paris,Botond Nagy
Papuren,39.4,7.88,TRUE,Botond Nagy,rr,2024 Paris,Petru Comanescu
Unsu,40.3,8.06,TRUE,Almosawi Sayed Salman,rr,2024 Paris,Mattia Busato
Anan Dai,40.2,8.04,FALSE,Mattia Busato,rr,2024 Paris,Almosawi Sayed Salman
Anan Dai,39.8,7.96,TRUE,Botond Nagy,rr,2024 Paris,Almosawi Sayed Salman
Gojushiho Dai,39.6,7.92,FALSE,Almosawi Sayed Salman,rr,2024 Paris,Botond Nagy
Unsu,39.2,7.84,FALSE,Petru Comanescu,rr,2024 Paris,Mattia Busato
Unsu,40.9,8.18,TRUE,Mattia Busato,rr,2024 Paris,Petru Comanescu
Kanku Sho,38.5,7.7,FALSE,Petru Comanescu,rr,2024 Paris,Almosawi Sayed Salman
Kanku Sho,39.4,7.88,TRUE,Almosawi Sayed Salman,rr,2024 Paris,Petru Comanescu
Ohan Dai,38.1,7.62,FALSE,Botond Nagy,rr,2024 Paris,Mattia Busato
Gojushiho Dai,42,8.4,TRUE,Mattia Busato,rr,2024 Paris,Botond Nagy
Suparinpei,39.4,7.88,TRUE,Gakuji Tozaki,rr,2024 Paris,Kutluhan Duran
Gojushiho Sho,38.6,7.72,FALSE,Kutluhan Duran,rr,2024 Paris,Gakuji Tozaki
Kyan No Chinto,39.1,7.82,FALSE,Casanova Guerrero Cleiver,rr,2024 Paris,Kakeru Nishiyama
Kururunfa,41.6,8.32,TRUE,Kakeru Nishiyama,rr,2024 Paris,Casanova Guerrero Cleiver
Gojushiho Dai,38.9,7.78,TRUE,Kutluhan Duran,rr,2024 Paris,Casanova Guerrero Cleiver
Unsu,37.6,7.52,FALSE,Casanova Guerrero Cleiver,rr,2024 Paris,Kutluhan Duran
Anan,39.7,7.94,FALSE,Gakuji Tozaki,rr,2024 Paris,Kakeru Nishiyama
Chibana,41.8,8.36,TRUE,Kakeru Nishiyama,rr,2024 Paris,Gakuji Tozaki
Anan Dai,41.7,8.34,TRUE,Gakuji Tozaki,rr,2024 Paris,Casanova Guerrero Cleiver
Gankaku,40,8,FALSE,Casanova Guerrero Cleiver,rr,2024 Paris,Gakuji Tozaki
Unsu,39.7,7.94,FALSE,Kutluhan Duran,rr,2024 Paris,Kakeru Nishiyama
Shisochin,41.8,8.36,TRUE,Kakeru Nishiyama,rr,2024 Paris,Kutluhan Duran
Kanku Sho,43.1,8.62,FALSE,Enes Ozdemir,r1,2024 Paris,Ariel Torres
Anan,43.6,8.72,TRUE,Ariel Torres,r1,2024 Paris,Enes Ozdemir
Suparinpei,42.3,8.46,FALSE,Ryonosuke Kikuchi,r1,2024 Paris,Ryuji Moto
Jitte,43.1,8.62,TRUE,Ryuji Moto,r1,2024 Paris,Ryonosuke Kikuchi
Gojushiho Sho,43.1,8.62,FALSE,Kazumasa Moto,r1,2024 Paris,Ali Sofuoglu
Gojushiho Sho,43.9,8.78,TRUE,Ali Sofuoglu,r1,2024 Paris,Kazumasa Moto
Gankaku,42.5,8.5,FALSE,Mattia Busato,r1,2024 Paris,Kakeru Nishiyama
Papuren,44.7,8.94,TRUE,Kakeru Nishiyama,r1,2024 Paris,Mattia Busato
Anan Dai,43.3,8.66,FALSE,Ariel Torres,r2,2024 Paris,Ryuji Moto
