Kata,Score,Avg Score,Won?,Karateka,Round #,Tournament
Suparinpei,39.4,7.88,TRUE,Gakuji Tozaki,rr,Paris
Gojushiho Sho,38.6,7.72,FALSE,Kutluhan Duran,rr,Paris
Kyan No Chinto,39.1,7.82,FALSE,Casanova Guerrero Cleiver,rr,Paris
Kururunfa,41.6,8.32,TRUE,Kakeru Nishiyama,rr,Paris
Gojushiho Dai,38.9,7.78,TRUE,Kutluhan Duran,rr,Paris
Unsu,37.6,7.52,FALSE,Casanova Guerrero Cleiver,rr,Paris
Anan,39.7,7.94,FALSE,Gakuji Tozaki,rr,Paris
Chibana Kusanku,41.8,8.36,TRUE,Kakeru Nishiyama,rr,Paris
Anan Dai,41.7,8.34,TRUE,Gakuji Tozaki,rr,Paris
Gankaku,40,8,FALSE,Casanova Guerrero Cleiver,rr,Paris
Unsu,39.7,7.94,FALSE,Kutluhan Duran,rr,Paris
Shisochin,41.8,8.36,TRUE,Kakeru Nishiyama,rr,Paris
Kanku Sho,43.1,8.62,FALSE,Enes Ozdemir,r1,Paris
Anan,43.6,8.72,TRUE,Ariel Torres,r1,Paris
Suparinpei,42.3,8.46,FALSE,Ryonosuke Kikuchi,r1,Paris
Jitte,43.1,8.62,TRUE,Ryuji Moto,r1,Paris
Gojushiho Sho,43.1,8.62,FALSE,Kazumasa Moto,r1,Paris
Gojushiho Sho,43.9,8.78,TRUE,Ali Sofuoglu,r1,Paris
Gankaku,42.5,8.5,FALSE,Mattia Busato,r1,Paris
Papuren,44.7,8.94,TRUE,Kakeru Nishiyama,r1,Paris
Anan Dai,43.3,8.66,FALSE,Ariel Torres,r2,Paris
Unsu,43.5,8.7,TRUE,Ryuji Moto,r2,Paris
Kanku Sho,43.5,8.7,FALSE,Ali Sofuoglu,r2,Paris
Suparinpei,44.2,8.84,TRUE,Kakeru Nishiyama,r2,Paris
Sochin,43.6,8.72,FALSE,Ryuji Moto,r3,Paris
Papuren,45.1,9.02,TRUE,Kakeru Nishiyama,r3,Paris
Papuren,43.1,8.62,FALSE,Ryonosuke Kikuchi,rpc,Paris
Anan,44.2,8.84,TRUE,Ariel Torres,rpc,Paris
Gojushiho Dai,43.4,8.68,FALSE,Mattia Busato,rpc,Paris
Gojushiho Sho,44.9,8.98,TRUE,Ali Sofuoglu,rpc,Paris
Gojushiho Sho,40.9,8.18,TRUE,Almosawi Sayed Salman,rr,Antalya
Papuren,39,7.8,FALSE,Adam Bardos,rr,Antalya
Unsu,42,8.4,FALSE,Enes Ozdemir,rr,Antalya
Sochin,42.9,8.58,TRUE,Ryuji Moto,rr,Antalya
Ohan Dai,40.3,8.06,FALSE,Adam Bardos,rr,Antalya
Sochin,41.7,8.34,TRUE,Enes Ozdemir,rr,Antalya
Unsu,41.1,8.22,FALSE,Almosawi Sayed Salman,rr,Antalya
Unsu,41.2,8.24,TRUE,Ryuji Moto,rr,Antalya
Kanku Sho,41.6,8.32,FALSE,Almosawi Sayed Salman,rr,Antalya
Gojushiho Sho,42.8,8.56,TRUE,Enes Ozdemir,rr,Antalya
Suparinpei,40.7,8.14,TRUE,Adam Bardos,rr,Antalya
Enpi,40.2,8.04,FALSE,Ryuji Moto,rr,Antalya
Seipai,39.8,7.96,FALSE,Yuki Ujihara,rr,Antalya
Ohan,42.3,8.46,TRUE,Sakichi Abe,rr,Antalya
Suparinpei,40.8,8.16,FALSE,Yuki Ujihara,rr,Antalya
Gojushiho Sho,42.5,8.5,TRUE,Ali Sofuoglu,rr,Antalya
Ohan Dai,42.4,8.48,TRUE,Sakichi Abe,rr,Antalya
Gojushiho Dai,42.3,8.46,FALSE,Ali Sofuoglu,rr,Antalya
Gojushiho Dai,40.4,8.08,TRUE,Almosawi Sayed Mohammed,rr,Antalya
Papuren,39.6,7.92,FALSE,Roman Hrcka,rr,Antalya
Unsu,40.2,8.04,FALSE,Kutluhan Duran,rr,Antalya
Ohan,41.7,8.34,TRUE,Ryusei Ikeda,rr,Antalya
Ohan Dai,39.6,7.92,FALSE,Roman Hrcka,rr,Antalya
Gojushiho Sho,40.1,8.02,TRUE,Kutluhan Duran,rr,Antalya
Gojushiho Sho,40.7,8.14,FALSE,Almosawi Sayed Mohammed,rr,Antalya
Anan Dai,41.4,8.28,TRUE,Ryusei Ikeda,rr,Antalya
Unsu,40.6,8.12,TRUE,Almosawi Sayed Mohammed,rr,Antalya
Kanku Sho,40.2,8.04,FALSE,Kutluhan Duran,rr,Antalya
Ohan,39.9,7.98,FALSE,Roman Hrcka,rr,Antalya
Anan,41.8,8.36,TRUE,Ryusei Ikeda,rr,Antalya
Gojushiho Sho,40.4,8.08,TRUE,Furkan Kaynar,rr,Antalya
Anan Dai,38.5,7.7,FALSE,Matthew Gruitia,rr,Antalya
Unsu,40.4,8.08,FALSE,Furkan Kaynar,rr,Antalya
Kururunfa,41.6,8.32,TRUE,Ariel Torres,rr,Antalya
Kururunfa,39.2,7.84,FALSE,Matthew Gruitia,rr,Antalya
Ohan,41.4,8.28,TRUE,Ariel Torres,rr,Antalya
Ohan Dai,38.5,7.7,FALSE,James Harrison,rr,Antalya
Gojushiho Sho,39.8,7.96,TRUE,Mohammad Hussain,rr,Antalya
Shisochin,41.9,8.38,TRUE,Ryonosuke Kikuchi,rr,Antalya
Kanku Sho,37.6,7.52,FALSE,Omar Diop,rr,Antalya
Unsu,40.5,8.1,FALSE,Mohammad Hussain,rr,Antalya
Anan Dai,42.4,8.48,TRUE,Ryonosuke Kikuchi,rr,Antalya
Papuren,39.6,7.92,TRUE,James Harrison,rr,Antalya
Gojushiho Sho,37.2,7.44,FALSE,Omar Diop,rr,Antalya
Kururunfa,39.6,7.92,FALSE,James Harrison,rr,Antalya
Ohan Dai,42.1,8.42,TRUE,Ryonosuke Kikuchi,rr,Antalya
Gojushiho Dai,40.9,8.18,TRUE,Mohammad Hussain,rr,Antalya
Unsu,37.5,7.5,FALSE,Omar Diop,rr,Antalya
Gojushiho Sho,41,8.2,TRUE,Alessandro Iodice,rr,Antalya
Unsu,40,8,FALSE,Petru Comanescu,rr,Antalya
Unsu,41.4,8.28,FALSE,Alessandro Iodice,rr,Antalya
Sochin,42.8,8.56,TRUE,Kazumasa Moto,rr,Antalya
Sansai,38.2,7.64,FALSE,Petru Comanescu,rr,Antalya
Gojushiho Dai,42,8.4,TRUE,Kazumasa Moto,rr,Antalya
Papuren,38.9,7.78,FALSE,Dyun Kimura,rr,Antalya
Chibana Kusanku,39.9,7.98,TRUE,Howard Hung Ho Wai,rr,Antalya
Ohan Dai,39.7,7.94,FALSE,Botond Nagy,rr,Antalya
Gojushiho Sho,41.2,8.24,TRUE,Alessio Ghinami,rr,Antalya
Ohan,40,8,TRUE,Howard Hung Ho Wai,rr,Antalya
Anan Dai,39.4,7.88,FALSE,Botond Nagy,rr,Antalya
Ohan Dai,38.8,7.76,FALSE,Dyun Kimura,rr,Antalya
Unsu,41,8.2,TRUE,Alessio Ghinami,rr,Antalya
Anan Dai,38.2,7.64,FALSE,Dyun Kimura,rr,Antalya
Paiku,39.5,7.9,TRUE,Botond Nagy,rr,Antalya
Ohan Dai,39.7,7.94,FALSE,Howard Hung Ho Wai,rr,Antalya
Gojushiho Dai,41.2,8.24,TRUE,Alessio Ghinami,rr,Antalya
Gojushiho Sho,38.6,7.72,FALSE,Roman Heydarov,rr,Antalya
Gojushiho Sho,39.8,7.96,TRUE,Gianluca Gallo,rr,Antalya
Sochin,38.8,7.76,FALSE,Roman Heydarov,rr,Antalya
Shisochin,40.9,8.18,TRUE,Kakeru Nishiyama,rr,Antalya
Gojushiho Dai,39.9,7.98,FALSE,Gianluca Gallo,rr,Antalya
Kururunfa,41.9,8.38,TRUE,Kakeru Nishiyama,rr,Antalya
Jitte,40.8,8.16,FALSE,Ryuji Moto,r1,Antalya
Anan Dai,44,8.8,TRUE,Sakichi Abe,r1,Antalya
Ohan Dai,42.3,8.46,FALSE,Ryusei Ikeda,r1,Antalya
Ohan Dai,43.2,8.64,TRUE,Ariel Torres,r1,Antalya
Papuren,42.8,8.56,FALSE,Ryonosuke Kikuchi,r1,Antalya
Gojushiho Sho,43.4,8.68,TRUE,Kazumasa Moto,r1,Antalya
Gankaku,42.2,8.44,FALSE,Alessio Ghinami,r1,Antalya
Papuren,43.7,8.74,TRUE,Kakeru Nishiyama,r1,Antalya
Suparinpei,42.6,8.52,FALSE,Sakichi Abe,r2,Antalya
Anan,43,8.6,TRUE,Ariel Torres,r2,Antalya
Gankaku,41.8,8.36,FALSE,Kazumasa Moto,r2,Antalya
Suparinpei,43.5,8.7,TRUE,Kakeru Nishiyama,r2,Antalya
Anan Dai,43.7,8.74,FALSE,Ariel Torres,r3,Antalya
Chibana Kusanku,45.7,9.14,TRUE,Kakeru Nishiyama,r3,Antalya
Suparinpei,42.2,8.44,FALSE,Ryusei Ikeda,rpc,Antalya
Anan,43.6,8.72,TRUE,Sakichi Abe,rpc,Antalya
Kanku Sho,42.2,8.44,TRUE,Alessio Ghinami,rpc,Antalya
Unsu,42.2,8.44,FALSE,Kazumasa Moto,rpc,Antalya
Kururunfa,40.6,8.12,FALSE,Yuki Ujihara,rr,Cairo
Unsu,40.6,8.12,TRUE,Franck Ngoan,rr,Cairo
Anan,41.3,8.26,FALSE,Gakuji Tozaki,rr,Cairo
Sochin,41.6,8.32,TRUE,Ryuji Moto,rr,Cairo
Gojushiho Sho,39.9,7.98,FALSE,Franck Ngoan,rr,Cairo
Suparinpei,40.7,8.14,TRUE,Gakuji Tozaki,rr,Cairo
Suparinpei,39.4,7.88,FALSE,Yuki Ujihara,rr,Cairo
Enpi,40.7,8.14,TRUE,Ryuji Moto,rr,Cairo
Papuren,40.1,8.02,FALSE,Yuki Ujihara,rr,Cairo
Ohan Dai,41.5,8.3,TRUE,Gakuji Tozaki,rr,Cairo
Sochin,39.4,7.88,FALSE,Franck Ngoan,rr,Cairo
Gojushiho Sho,41.2,8.24,TRUE,Ryuji Moto,rr,Cairo
Ohan Dai,40.6,8.12,TRUE,Ryonosuke Kikuchi,rr,Cairo
